COLOMBO,,0.9414,1.4818,1.5372,1.3875,1.1413,0.8453,0.9695,0.5715,0.4383,0.5043,0.9894,1.2277,1.0057,0.9292,1.2371,1.2723,0.5470,1.1929,1.2342,1.1442,0.8352,0.8522,0.6843,1.6162,1.5306,1.0952,NQC,1.7167
GAMPAHA,,0.4499,1.4876,1.5317,1.3388,1.1320,0.7884,0.5901,-0.4090,0.4225,0.4798,1.0374,1.2467,1.0278,0.9821,1.3088,1.2789,0.5446,1.1884,1.3383,1.1266,0.8415,0.8532,NQC,1.5741,1.5241,1.1104,1.3994,NQC
KALUTARA,,0.3636,1.4958,1.5365,NQC,1.1161,1.0163,0.7780,0.7340,0.5838,0.6228,1.0609,1.2298,1.1620,1.0414,1.3075,1.3080,0.6996,1.1902,1.2597,1.1506,NQC,0.9309,NQC,1.5701,1.5483,NQC,1.4321,1.7401
MATALE,,0.2153,NQC,NQC,1.1888,1.1834,0.7967,1.0833,NQC,0.5883,0.5791,1.1467,1.1408,1.1511,1.1091,1.3078,1.3261,0.6597,NQC,NQC,1.1356,0.9704,0.9650,NQC,NQC,1.5392,1.2052,NQC,NQC
KANDY,,0.2190,1.4830,1.5189,1.4210,1.1161,0.8989,1.0023,0.5386,0.5284,0.5812,1.0658,1.2018,1.1061,1.0226,1.3141,1.3616,0.6750,NQC,1.3008,NQC,0.8495,0.8955,0.7925,1.6247,1.5465,1.2126,1.3965,1.7092
,NUWARA ELIYA,0.2643,NQC,NQC,0.8187,NQC,0.7445,0.5256,0.2839,NQC,0.3333,1.0474,1.1056,0.9012,0.8341,1.3351,1.3617,0.6223,NQC,NQC,NQC,0.9030,0.9177,0.7229,NQC,NQC,1.0697,NQC,NQC
GALLE,,0.7929,1.4822,1.5465,1.4546,1.1543,1.0044,0.9355,NQC,0.5437,0.6395,1.1468,1.2610,1.1831,1.0864,1.3263,1.3240,0.7049,1.1939,1.2380,1.1330,1.0061,0.9826,NQC,1.5740,1.5364,NQC,1.4923,1.7304
MATARA,,0.4869,1.4852,1.5372,NQC,1.1339,1.1313,0.9573,NQC,0.5752,0.6093,1.1646,1.2640,1.2344,1.1012,1.3521,1.3184,0.7267,1.1992,1.2361,1.1294,NQC,1.0174,NQC,NQC,1.5286,NQC,1.4764,1.7120
,HAMBANTOTA,0.2568,1.5052,1.5143,NQC,1.1243,1.1018,0.9321,NQC,0.6160,0.6449,1.1374,1.1071,1.1551,1.0918,1.3120,1.3160,0.7254,1.2266,1.2339,1.1346,NQC,0.9920,NQC,1.5702,1.5269,NQC,1.4849,1.7054
JAFFNA,,0.2557,1.5082,1.5199,1.6124,1.1722,0.8635,0.7642,0.7470,0.8202,0.6615,0.7980,0.9463,0.8457,0.8371,1.1645,1.2371,0.6562,1.1993,1.2584,1.1534,0.9637,1.0408,NQC,1.5839,1.5272,1.5035,NQC,1.7561
